aar,status,type,beskrivelse,count(*)
2022,"Videresendt parkforvaltning",Bommer,"Bommer - Bommer",14
2022,"Videresendt parkforvaltning","Registrering villfylling/hageavfall","Søppel - Registrering villfylling/hageavfall",14
2022,"Videresendt veidrift",Sykkelfelt,"Brøyting/strøing - Sykkelfelt",14
2022,"Videresendt veidrift","Trafikkøyer og rundkjøringer","Gressklipping - Trafikkøyer og rundkjøringer",14
2022,"Arbeid utført","Greiner skygger for belysning","Trær - Greiner skygger for belysning",13
2022,"Arbeid utført","Livbøye","Badeplass - Livbøye",13
2022,"Arbeid utført","Trafikklys - Blinker gult","Trafikklys - Blinker gult",13
2022,"Arbeid utført","Ødelagt servicestasjon/pumpe","Sykkel - Ødelagt servicestasjon/pumpe",13
2022,Duplikat,Feil/mangler,"Idrettsutstyr - Feil/mangler",13
2022,Duplikat,Feil/mangler,"Lekeplass - Feil/mangler",13
2022,Fritekst,Annet,"Gatelys - Annet",13
2022,Fritekst,"Farlig avfall","Søppel - Farlig avfall",13
2022,Fritekst,"Manglende/skadet gatenavnskilt","Skilt - Manglende/skadet gatenavnskilt",13
2022,Fritekst,"Tur-, gang- og sykkelvei","Renhold - Tur-, gang- og sykkelvei",13
2022,"Privat eiendom","Registrering villfylling/hageavfall","Søppel - Registrering villfylling/hageavfall",13
2022,Saksbehandles,Bommer,"Bommer - Bommer",13
2022,"Statens vegvesen","Plen/grøntområder","Gressklipping - Plen/grøntområder",13
2022,"Statens vegvesen","Søppel på holdeplass","Søppel - Søppel på holdeplass",13
2022,"Under behandling","Gjengrodd sti/turvei","Trær - Gjengrodd sti/turvei",13
